Date,Australian Equities,Developed Market Equities,Emerging Market Equities,Australian Listed Property,Hedge Funds,Australian Fixed Interest,Global Fixed Interest,Cash (Bank bills)
31/01/2001,0.043197727,0.026029918,0.13824,-0.013857675,0.009438455,0.015003376,0.013451166,0.005364174
28/02/2001,-0.001874274,-0.078678279,-0.067859151,-0.005185803,-0.005876045,0.006675435,0.009209967,0.004694953
30/03/2001,-0.048465843,-0.04786838,-0.078171536,-0.038573256,-0.00336526,0.00593854,0.007002448,0.004820989
30/04/2001,0.058545313,0.069750449,0.047287487,0.01477332,0.006883117,-0.009661201,-0.004339228,0.004350195
31/05/2001,0.0171577,-0.007102115,0.022620105,-0.003951904,0.008254869,-0.003771417,0.006273552,0.004049692
29/06/2001,0.037768817,-0.025401501,-0.01735594,0.054985722,0.005841968,0.000679902,0.005666802,0.004008956
31/07/2001,-0.047444396,-0.021280574,-0.053026329,0.000387885,-0.000211972,0.004161462,0.015720863,0.004220847
31/08/2001,-0.009580787,-0.062263758,-0.006771175,0.04841619,0.00915914,0.026625247,0.010089676,0.004432026
28/09/2001,-0.065703688,-0.088998934,-0.133723092,-0.002074255,-0.008319677,0.011419258,0.009421446,0.004286952
31/10/2001,0.067653997,0.025292818,0.06457921,0.002368599,0.004406593,0.016334505,0.019307212,0.003786275
30/11/2001,0.03314295,0.062491282,0.101151408,-0.006614799,0.005399705,-0.010699632,-0.006498498,0.003570803
31/12/2001,0.026496963,0.010930586,0.094829778,0.032598406,0.011916251,-0.008785866,-0.005052362,0.003622849
31/01/2002,0.0129006,-0.019522389,0.040330373,0.000642512,0.005390389,0.000473014,0.006674345,0.003565147
28/02/2002,-0.01112897,-0.01004278,0.018485939,-0.021619971,-0.005608941,0.005765341,0.007239056,0.003293255
29/03/2002,0.006495763,0.039896125,0.05609091,0.010788747,0.007382523,-0.008594409,-0.008189394,0.003482951
30/04/2002,-0.018015751,-0.045864587,-0.002548902,0.00661161,0.007945984,0.014437893,0.015535947,0.00377737
31/05/2002,0.008467052,-0.010922376,-0.02914173,0.010312441,0.006739645,-0.002704817,0.006729489,0.003704183
28/06/2002,-0.041932549,-0.077354391,-0.064568401,-0.006524498,-0.008439161,0.012692511,0.012879341,0.003895965
31/07/2002,-0.040227936,-0.084373535,-0.065221576,-0.020407364,-0.013462089,0.010319922,0.013306046,0.00438355
30/08/2002,0.016250289,0.001641521,0.012638618,0.008272199,0.008461219,0.010429411,0.016740419,0.004132073
30/09/2002,-0.041572615,-0.110473827,-0.081653401,0.005125723,0.000781443,0.016869618,0.016077426,0.004132011
31/10/2002,0.026770989,0.073984206,0.048384206,0.008888749,-0.000410965,0.001893352,5.48749E-06,0.004171683
29/11/2002,0.011243896,0.053490183,0.052969809,0.030758276,0.010936151,0.001246966,0.003755733,0.00398955
31/12/2002,-0.015947646,-0.064238273,-0.046904996,0.005442786,0.010655171,0.022358513,0.019618501,0.004134343
31/01/2003,-0.01640625,-0.036528421,-0.005842269,0.001238194,0.012756026,0.004079798,0.007300994,0.00405849
28/02/2003,-0.04922574,-0.016342548,-0.02892941,-0.035335369,0.006754609,0.009674888,0.012590282,0.003686177
31/03/2003,0.039236399,-0.005404163,-0.029137299,0.049566556,0.002604783,-0.004432497,0.001931143,0.003990941
30/04/2003,0.043103047,0.082659006,0.049385224,0.023475088,0.019563848,0.005511759,0.008161716,0.003915458
30/05/2003,0.003713116,0.04237822,0.08177363,0.036209632,0.027141809,0.016025109,0.019484648,0.004067307
30/06/2003,0.012354531,0.020972353,0.042891453,-0.030372618,0.008307022,7.39581E-05,-0.000271082,0.003912906
31/07/2003,0.03266245,0.028492958,0.062341392,0.008901089,0.00082013,-0.008750744,-0.018497726,0.003920909
29/08/2003,0.029929834,0.024351804,0.066937568,0.00037329,0.007598614,-0.000201945,0.002546633,0.004000761
30/09/2003,-0.001396722,-0.015557695,-0.010708651,-0.02739785,0.015156556,0.006675991,0.019985935,0.00396718
31/10/2003,0.03354402,0.054291168,0.089415441,0.024760949,0.013764976,-0.011028797,-0.005820194,0.004080674
28/11/2003,-0.020218706,0.006509033,0.009544299,0.017366011,0.010776249,-0.004652906,0.00457687,0.003842478
31/12/2003,0.037630617,0.044965944,0.069195562,0.019836664,0.019545826,0.017541613,0.012679584,0.004479946
30/01/2004,-0.007908069,0.01690433,0.037122271,-0.001589097,0.01704486,-0.001879041,0.009356137,0.004573578
27/02/2004,0.031261676,0.017777944,0.038217191,0.0313182,0.013983138,0.012793324,0.013645372,0.004410372
31/03/2004,0.023204875,-0.009000412,-0.001914624,0.033514395,0.002839181,0.009273247,0.008671885,0.004773109
30/04/2004,-0.003921947,-0.003869578,-0.057944044,-0.023702863,-0.005830806,-0.009258925,-0.012757213,0.004486162
31/05/2004,0.018695868,0.001631087,-0.023657471,0.058962611,-0.002305319,0.009080266,0.000844234,0.004727689
30/06/2004,0.026881408,0.021212055,-0.002432078,0.009946389,0.003431989,0.003918612,0.005339712,0.004515064
30/07/2004,0.002720237,-0.028904404,-0.01628117,0.058334947,-0.003115476,0.004291977,0.010200211,0.004628787
